season,award,pemain,link,tim,hadiah
10,Team of the Week #1,VYN,/mobilelegends/VYN,RRQ Hoshi,
10,Regular Season MVP,Kairi,/mobilelegends/Kairi,ONIC Esports,"$1,000"
10,Finals MVP,Kairi,/mobilelegends/Kairi,ONIC Esports,"$2,000"
10,Best Coach,Aldo,/mobilelegends/Aldo,ONIC Esports,
10,Best Talent ID,KB,/mobilelegends/KB,,
10,Best Talent EN,Mirko,/mobilelegends/Mirko,,
10,Rising Star,Widjanarko,/mobilelegends/Widjanarko,Rebellion Zion,$500
10,Most Improved Player,MAXXX,/mobilelegends/Maxx,Bigetron Alpha,$500
10,First Team Winner,Butsss,/mobilelegends/Butss,ONIC Esports,$500
10,First Team Winner,Kairi,/mobilelegends/Kairi,ONIC Esports,
10,First Team Winner,Udil,/mobilelegends/Udil,Alter Ego,
10,First Team Winner,CW,/mobilelegends/CW,ONIC Esports,
10,First Team Winner,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
11,Week 1 MVP,Branz,/mobilelegends/Branz,EVOS Legends,
11,Week 2 MVP,CW,/mobilelegends/CW,ONIC,
11,Week 3 MVP,Alberttt,/mobilelegends/Alberttt,Rex Regum Qeon,
11,Week 4 MVP,Nino,/mobilelegends/Nino,Alter Ego,
11,Week 5 MVP,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
11,Week 6 MVP,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
11,Team of the Week #6,LUKE,/mobilelegends/Luke,Geek Slate,
11,Team of the Week #6,Kenn,/mobilelegends/Super_Kenn,Bigetron Alpha,
11,Team of the Week #6,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
11,Team of the Week #6,CW,/mobilelegends/CW,ONIC,
11,Team of the Week #6,Rasy,/mobilelegends/Rasy,Alter Ego,
11,Team of the Week #5,Lemon,/mobilelegends/Lemon,Rex Regum Qeon,
11,Team of the Week #5,Kairi,/mobilelegends/Kairi,ONIC,
11,Team of the Week #5,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
11,Team of the Week #5,Branz,/mobilelegends/Branz,EVOS Legends,
11,Team of the Week #5,Baloyskie,/mobilelegends/Baloyskie,Geek Slate,
11,Team of the Week #4,LUKE,/mobilelegends/Luke,Geek Slate,
11,Team of the Week #4,Celiboy,/mobilelegends/Celiboy,Alter Ego,
11,Team of the Week #4,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
11,Team of the Week #4,Nino,/mobilelegends/Nino,Alter Ego,
11,Team of the Week #4,Kyy,/mobilelegends/Kyy,Bigetron Alpha,
11,Team of the Week #3,Butsss,/mobilelegends/Butss,ONIC,
11,Team of the Week #3,Alberttt,/mobilelegends/Alberttt,Rex Regum Qeon,
11,Team of the Week #3,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
11,Team of the Week #3,Skylar,/mobilelegends/Skylar,Rex Regum Qeon,
11,Team of the Week #3,Kyy,/mobilelegends/Kyy,Bigetron Alpha,
11,Team of the Week #2,Lemon,/mobilelegends/Lemon,Rex Regum Qeon,
11,Team of the Week #2,Kairi,/mobilelegends/Kairi,ONIC,
11,Team of the Week #2,Morenoo,/mobilelegends/Moreno,Bigetron Alpha,
11,Team of the Week #2,CW,/mobilelegends/CW,ONIC,
11,Team of the Week #2,Kiboy,/mobilelegends/Kiboy,ONIC,
11,Team of the Week #1,Saykots,/mobilelegends/Saykots,EVOS Legends,
11,Team of the Week #1,Tazz,/mobilelegends/Tazz,EVOS Legends,
11,Team of the Week #1,Hijumee,/mobilelegends/Hijumee,EVOS Legends,
11,Team of the Week #1,Branz,/mobilelegends/Branz,EVOS Legends,
11,Team of the Week #1,DreamS,/mobilelegends/Dreams,EVOS Legends,
11,Regular Season MVP,S A N Z,/mobilelegends/S_A_N_Z,ONIC,"$1,000"
11,Finals MVP,S A N Z,/mobilelegends/S_A_N_Z,ONIC,"$2,000"
11,Rising Star,Super KENN,/mobilelegends/Super_Kenn,Bigetron Alpha,$500
11,Most Improved Player,Caderaa,/mobilelegends/Caderaa,Geek Slate,$500
11,First Team Winner,Lemon,/mobilelegends/Lemon,Rex Regum Qeon,$500
11,First Team Winner,Kairi,/mobilelegends/Kairi,ONIC,
11,First Team Winner,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
11,First Team Winner,Branz,/mobilelegends/Branz,EVOS Legends,
11,First Team Winner,Baloyskie,/mobilelegends/Baloyskie,Geek Slate,
11,Best Coach,Yeb,/mobilelegends/Yeb,ONIC,
11,Best Talent ID,Clara Mongstar,/mobilelegends/Mongstar,,
11,Best Talent EN,Aeterna,/mobilelegends/Aeterna,,
12,Finals MVP,Kiboy,/mobilelegends/Kiboy,ONIC,"$2,000"
12,Regular Season MVP,Kairi,/mobilelegends/Kairi,ONIC,"$1,000"
12,Rookie Of The Season,Nnael,/mobilelegends/Nnael,Geek Fam ID,
12,Rising Star,Nnael,/mobilelegends/Nnael,Geek Fam ID,$500
12,Most Improved Player,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,$500
12,First Team Winner,Butsss,/mobilelegends/Butss,ONIC,$500
12,First Team Winner,Kairi,/mobilelegends/Kairi,ONIC,
12,First Team Winner,Sanz,/mobilelegends/S_A_N_Z,ONIC,
12,First Team Winner,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,
12,First Team Winner,Kiboy,/mobilelegends/Kiboy,ONIC,
12,Best Coach,Yeb,/mobilelegends/Yeb,ONIC,
12,Best Talent ID,Clara Mongstar,/mobilelegends/Mongstar,,
12,Best Talent EN,Mirko,/mobilelegends/Mirko,,
12,Week 1 MVP,Clayyy,/mobilelegends/Clayyy,Rex Regum Qeon,
12,Week 2 MVP,Naomi,/mobilelegends/Naomi,Rex Regum Qeon,
12,Week 3 MVP,Kairi,/mobilelegends/Kairi,ONIC,
12,Week 4 MVP,Rasy,/mobilelegends/Rasy,Alter Ego,
12,Week 5 MVP,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,
12,Week 6 MVP,Karss,/mobilelegends/Karss,Rebellion Zion,
12,Week 7 MVP,Watt,/mobilelegends/Watt,Dewa United Esports,
12,Week 8 MVP,Alberttt,/mobilelegends/Alberttt,ONIC,
12,Week 2 Best Rookie,AudyTzy,/mobilelegends/AudyTzy,Rebellion Zion,
12,Week 3 Best Rookie,Aran,/mobilelegends/Aran,AURA Fire,
12,Week 4 Best Rookie,AudyTzy,/mobilelegends/AudyTzy,Rebellion Zion,
12,Week 5 Best Rookie,Nnael,/mobilelegends/Nnael,Geek Fam ID,
12,Week 6 Best Rookie,AudyTzy,/mobilelegends/AudyTzy,Rebellion Zion,
12,Week 7 Best Rookie,AudyTzy,/mobilelegends/AudyTzy,Rebellion Zion,
12,Week 8 Best Rookie,Nnael,/mobilelegends/Nnael,Geek Fam ID,
12,Team of The Week #8,Dyrennn,/mobilelegends/Dyrennn,Rex Regum Qeon,
12,Team of The Week #8,Kairi,/mobilelegends/Kairi,ONIC,
12,Team of The Week #8,Sanz,/mobilelegends/S_A_N_Z,ONIC,
12,Team of The Week #8,Alberttt,/mobilelegends/Alberttt,ONIC,
12,Team of The Week #8,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
12,Team of The Week #7,Butsss,/mobilelegends/Butss,ONIC,
12,Team of The Week #7,Kairi,/mobilelegends/Kairi,ONIC,
12,Team of The Week #7,Sanz,/mobilelegends/S_A_N_Z,ONIC,
12,Team of The Week #7,CW,/mobilelegends/CW,ONIC,
12,Team of The Week #7,Kiboy,/mobilelegends/Kiboy,ONIC,
12,Team of The Week #6,Karss,/mobilelegends/Karss,Rebellion Zion,
12,Team of The Week #6,Kairi,/mobilelegends/Kairi,ONIC,
12,Team of The Week #6,Sanz,/mobilelegends/S_A_N_Z,ONIC,
12,Team of The Week #6,Watt,/mobilelegends/Watt,Dewa United Esports,
12,Team of The Week #6,AudyTzy,/mobilelegends/AudyTzy,Rebellion Zion,
12,Team of The Week #5,Banana,/mobilelegends/Banana,Rex Regum Qeon,
12,Team of The Week #5,Nnael,/mobilelegends/Nnael,Geek Fam ID,
12,Team of The Week #5,Aboy,/mobilelegends/A_B_O_Y,Geek Fam ID,
12,Team of The Week #5,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,
12,Team of The Week #5,Naomi,/mobilelegends/Naomi,Rex Regum Qeon,
12,Team of The Week #4,PAI,/mobilelegends/Pai,Alter Ego,
12,Team of The Week #4,Celiboy,/mobilelegends/Celiboy,Alter Ego,
12,Team of The Week #4,Udil,/mobilelegends/Udil,Alter Ego,
12,Team of The Week #4,Nino,/mobilelegends/Nino,Alter Ego,
12,Team of The Week #4,Rasy,/mobilelegends/Rasy,Alter Ego,
12,Team of The Week #3,Aran,/mobilelegends/Aran,AURA Fire,
12,Team of The Week #3,Kairi,/mobilelegends/Kairi,ONIC,
12,Team of The Week #3,Aboy,/mobilelegends/A_B_O_Y,Geek Fam ID,
12,Team of The Week #3,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,
12,Team of The Week #3,VaanStrong,/mobilelegends/Ivann,EVOS Legends,
12,Team of The Week #2,Butsss,/mobilelegends/Butss,ONIC,
12,Team of The Week #2,Tazz,/mobilelegends/Tazz,EVOS Legends,
12,Team of The Week #2,Clayyy,/mobilelegends/Clayyy,Rex Regum Qeon,
12,Team of The Week #2,Skylar,/mobilelegends/Skylar,Rex Regum Qeon,
12,Team of The Week #2,Naomi,/mobilelegends/Naomi,Rex Regum Qeon,
13,Finals MVP,CW,/mobilelegends/CW,Fnatic ONIC,"$1,720.24"
13,Regular Season MVP,EMANN,/mobilelegends/EMANN,Bigetron Alpha,$921.56
13,Rookie Of The Season,Gugun,/mobilelegends/Gugun,Liquid Aura,$368.62
13,Most Improved Player,Moreno,/mobilelegends/Moreno,Bigetron Alpha,$368.62
13,First Team Winner,Fluffy,/mobilelegends/Fluffy,EVOS Glory,$368.62
13,First Team Winner,Kenn,/mobilelegends/Super_Kenn,Bigetron Alpha,
13,First Team Winner,Sanz,/mobilelegends/S_A_N_Z,Fnatic ONIC,
13,First Team Winner,EMANN,/mobilelegends/EMANN,Bigetron Alpha,
13,First Team Winner,Kiboy,/mobilelegends/Kiboy,Fnatic ONIC,
13,Best Coaching Team,Bigetron Alpha,/mobilelegends/Bigetron_Alpha,Bigetron Alpha,$184.31
13,Second Team Winner,Lutpiii,/mobilelegends/Lutpiii,Fnatic ONIC,$245.75
13,Second Team Winner,Kairi,/mobilelegends/Kairi,Fnatic ONIC,
13,Second Team Winner,Moreno,/mobilelegends/Moreno,Bigetron Alpha,
13,Second Team Winner,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
13,Second Team Winner,Kyy,/mobilelegends/Kyy,Bigetron Alpha,
13,Dream Team,Lutpiii,/mobilelegends/Lutpiii,Fnatic ONIC,
13,Dream Team,Kairi,/mobilelegends/Kairi,Fnatic ONIC,
13,Dream Team,Sanz,/mobilelegends/S_A_N_Z,Fnatic ONIC,
13,Dream Team,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
13,Dream Team,Kiboy,/mobilelegends/Kiboy,Fnatic ONIC,
13,Best Talent ID,KB,/mobilelegends/KB,,
13,Best Talent EN,Mirko,/mobilelegends/Mirko,,
13,Week 1 MVP,EMANN,/mobilelegends/EMANN,Bigetron Alpha,
13,Week 2 MVP,Cr1te,/mobilelegends/Cr1te,Alter Ego,
13,Week 3 MVP,Moreno,/mobilelegends/Moreno,Bigetron Alpha,
13,Week 4 MVP,Kenn,/mobilelegends/Super_Kenn,Bigetron Alpha,
13,Week 5 MVP,Gugun,/mobilelegends/Gugun,AURA Fire,
13,Week 6 MVP,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
13,Week 7 MVP,Anavel,/mobilelegends/Anavel,EVOS Glory,
13,Week 8 MVP,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
13,Week 9 MVP,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
13,Week 1 Best Rookie,Gugun,/mobilelegends/Gugun,AURA Fire,
13,Week 2 Best Rookie,Gugun,/mobilelegends/Gugun,AURA Fire,
13,Week 3 Best Rookie,Hazle,/mobilelegends/Hazle,Geek Fam ID,
13,Week 4 Best Rookie,Gugun,/mobilelegends/Gugun,AURA Fire,
13,Week 5 Best Rookie,Deee,/mobilelegends/Deee,Rebellion Esports,
13,Week 6 Best Rookie,Donn,/mobilelegends/Donn,RRQ Hoshi,
13,Week 7 Best Rookie,Lutpiii,/mobilelegends/Lutpiii,ONIC,
13,Week 8 Best Rookie,Lutpiii,/mobilelegends/Lutpiii,ONIC,
13,Week 9 Best Rookie,Anavel,/mobilelegends/Anavel,EVOS Glory,
13,Team of The Week #9,Luke,/mobilelegends/Luke,Geek Fam ID,
13,Team of The Week #9,Anavel,/mobilelegends/Anavel,EVOS Glory,
13,Team of The Week #9,Moreno,/mobilelegends/Moreno,Bigetron Alpha,
13,Team of The Week #9,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
13,Team of The Week #9,Kyy,/mobilelegends/Kyy,Bigetron Alpha,
13,Team of The Week #8,Luke,/mobilelegends/Luke,Geek Fam ID,
13,Team of The Week #8,Kenn,/mobilelegends/Super_Kenn,Bigetron Alpha,
13,Team of The Week #8,Sanz,/mobilelegends/S_A_N_Z,ONIC,
13,Team of The Week #8,EMANN,/mobilelegends/EMANN,Bigetron Alpha,
13,Team of The Week #8,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
13,Team of The Week #7,Lutpiii,/mobilelegends/Lutpiii,ONIC,
13,Team of The Week #7,Anavel,/mobilelegends/Anavel,EVOS Glory,
13,Team of The Week #7,Sanz,/mobilelegends/S_A_N_Z,ONIC,
13,Team of The Week #7,CW,/mobilelegends/CW,ONIC,
13,Team of The Week #7,Kyy,/mobilelegends/Kyy,Bigetron Alpha,
13,Team of The Week #6,Donn,/mobilelegends/Donn,RRQ Hoshi,
13,Team of The Week #6,Kairi,/mobilelegends/Kairi,ONIC,
13,Team of The Week #6,Sanz,/mobilelegends/S_A_N_Z,ONIC,
13,Team of The Week #6,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
13,Team of The Week #6,Kyy,/mobilelegends/Kyy,Bigetron Alpha,
13,Team of The Week #5,Karss,/mobilelegends/Karss,Rebellion Esports,
13,Team of The Week #5,Gugun,/mobilelegends/Gugun,AURA Fire,
13,Team of The Week #5,YehezKiel,/mobilelegends/Yehezkiel,AURA Fire,
13,Team of The Week #5,Branz,/mobilelegends/Branz,EVOS Glory,
13,Team of The Week #5,DreamS,/mobilelegends/Dreams,EVOS Glory,
13,Team of The Week #4,Aran,/mobilelegends/Aran,AURA Fire,
13,Team of The Week #4,Gugun,/mobilelegends/Gugun,AURA Fire,
13,Team of The Week #4,Sanz,/mobilelegends/S_A_N_Z,ONIC,
13,Team of The Week #4,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
13,Team of The Week #4,Yawi,/mobilelegends/Yawi,AURA Fire,
13,Team of The Week #3,Karss,/mobilelegends/Karss,Rebellion Esports,
13,Team of The Week #3,Kenn,/mobilelegends/Super_Kenn,Bigetron Alpha,
13,Team of The Week #3,Moreno,/mobilelegends/Moreno,Bigetron Alpha,
13,Team of The Week #3,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
13,Team of The Week #3,Kyy,/mobilelegends/Kyy,Bigetron Alpha,
13,Team of The Week #2,Xorizo,/mobilelegends/Xorizo,Bigetron Alpha,
13,Team of The Week #2,Kairi,/mobilelegends/Kairi,ONIC,
13,Team of The Week #2,Cr1te,/mobilelegends/Cr1te,Alter Ego,
13,Team of The Week #2,EMANN,/mobilelegends/EMANN,Bigetron Alpha,
13,Team of The Week #2,Kiboy,/mobilelegends/Kiboy,ONIC,
13,Team of The Week #1,Pai,/mobilelegends/Pai,Alter Ego,
13,Team of The Week #1,Tazz,/mobilelegends/Tazz,Alter Ego,
13,Team of The Week #1,Moreno,/mobilelegends/Moreno,Bigetron Alpha,
13,Team of The Week #1,EMANN,/mobilelegends/EMANN,Bigetron Alpha,
13,Team of The Week #1,Drian,/mobilelegends/Drian,Dewa United Esports,
14,Finals MVP,Widy,/mobilelegends/Widy,Team Liquid ID,"$1,784"
14,Regular Season MVP,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,$955.71
14,Rookie Of The Season,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,$382.28
14,Most Improved Player,Yehezkiel,/mobilelegends/Yehezkiel,Team Liquid ID,$382.28
14,First Team Winner,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,$382.28
14,First Team Winner,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,First Team Winner,Rinz,/mobilelegends/Rinz,RRQ Hoshi,
14,First Team Winner,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
14,First Team Winner,Idok,/mobilelegends/Idok,RRQ Hoshi,
14,Best Coaching Team,RRQ Hoshi,/mobilelegends/RRQ_Hoshi,RRQ Hoshi,$191.14
14,Second Team Winner,Aran,/mobilelegends/Aran,Team Liquid ID,$254.86
14,Second Team Winner,Sutsujin,/mobilelegends/Sutsujin,RRQ Hoshi,
14,Second Team Winner,Yehezkiel,/mobilelegends/Yehezkiel,Team Liquid ID,
14,Second Team Winner,Aeron,/mobilelegends/AeronnShikii,Team Liquid ID,
14,Second Team Winner,Widy,/mobilelegends/Widy,Team Liquid ID,
14,Dream Team,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,
14,Dream Team,Sutsujin,/mobilelegends/Sutsujin,RRQ Hoshi,
14,Dream Team,Rinz,/mobilelegends/Rinz,RRQ Hoshi,
14,Dream Team,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
14,Dream Team,Idok,/mobilelegends/Idok,RRQ Hoshi,
14,Week 1 MVP,Lutpiii,/mobilelegends/Lutpiii,Fnatic ONIC,
14,Week 2 MVP,Sutsujin,/mobilelegends/Sutsujin,RRQ Hoshi,
14,Week 3 MVP,Aboy,/mobilelegends/A_B_O_Y,Geek Fam ID,
14,Week 4 MVP,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
14,Week 5 MVP,Luke,/mobilelegends/Luke,Bigetron Alpha,
14,Week 6 MVP,Sutsujin,/mobilelegends/Sutsujin,RRQ Hoshi,
14,Week 7 MVP,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,Week 8 MVP,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,Week 9 MVP,Rezzz,/mobilelegends/Rezzz,Fnatic ONIC,
14,Week 1 Best Rookie,Muezzaa,/mobilelegends/Muezzaa,Dewa United Esports,
14,Week 2 Best Rookie,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,Week 3 Best Rookie,Mas4ko,/mobilelegends/Mas4Ko,Geek Fam ID,
14,Week 4 Best Rookie,Idok,/mobilelegends/Idok,RRQ Hoshi,
14,Week 5 Best Rookie,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,Week 6 Best Rookie,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,Week 7 Best Rookie,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,Week 8 Best Rookie,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,Week 9 Best Rookie,Idok,/mobilelegends/Idok,RRQ Hoshi,
14,Team of The Week #9,Rezzz,/mobilelegends/Rezzz,Fnatic ONIC,
14,Team of The Week #9,Hazle,/mobilelegends/Hazle,RRQ Hoshi,
14,Team of The Week #9,Sanz,/mobilelegends/S_A_N_Z,Fnatic ONIC,
14,Team of The Week #9,EMANN,/mobilelegends/EMANN,Bigetron Alpha,
14,Team of The Week #9,Idok,/mobilelegends/Idok,RRQ Hoshi,
14,Team of The Week #8,Aran,/mobilelegends/Aran,Team Liquid ID,
14,Team of The Week #8,Kairi,/mobilelegends/Kairi,Fnatic ONIC,
14,Team of The Week #8,Sanz,/mobilelegends/S_A_N_Z,Fnatic ONIC,
14,Team of The Week #8,CW,/mobilelegends/CW,Fnatic ONIC,
14,Team of The Week #8,Kiboy,/mobilelegends/Kiboy,Fnatic ONIC,
14,Team of The Week #7,Aran,/mobilelegends/Aran,Team Liquid ID,
14,Team of The Week #7,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,Team of The Week #7,Yehezkiel,/mobilelegends/Yehezkiel,Team Liquid ID,
14,Team of The Week #7,Aeron,/mobilelegends/AeronnShikii,Team Liquid ID,
14,Team of The Week #7,Widy,/mobilelegends/Widy,Team Liquid ID,
14,Team of The Week #6,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,
14,Team of The Week #6,Sutsujin,/mobilelegends/Sutsujin,RRQ Hoshi,
14,Team of The Week #6,Yehezkiel,/mobilelegends/Yehezkiel,Team Liquid ID,
14,Team of The Week #6,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
14,Team of The Week #6,Idok,/mobilelegends/Idok,RRQ Hoshi,
14,Team of The Week #5,Luke,/mobilelegends/Luke,Bigetron Alpha,
14,Team of The Week #5,Faviannn,/mobilelegends/Faviannn,Team Liquid ID,
14,Team of The Week #5,Aboy,/mobilelegends/A_B_O_Y,Geek Fam ID,
14,Team of The Week #5,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
14,Team of The Week #5,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
14,Team of The Week #4,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,
14,Team of The Week #4,Kairi,/mobilelegends/Kairi,Fnatic ONIC,
14,Team of The Week #4,Sanz,/mobilelegends/S_A_N_Z,Fnatic ONIC,
14,Team of The Week #4,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
14,Team of The Week #4,Idok,/mobilelegends/Idok,RRQ Hoshi,
14,Team of The Week #3,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,
14,Team of The Week #3,Vincentt,/mobilelegends/Vincentt,Geek Fam,
14,Team of The Week #3,Aboy,/mobilelegends/A_B_O_Y,Geek Fam,
14,Team of The Week #3,Mas4ko,/mobilelegends/Mas4Ko,Geek Fam,
14,Team of The Week #3,Baloyskie,/mobilelegends/Baloyskie,Geek Fam,
14,Team of The Week #2,Luke,/mobilelegends/Luke,Bigetron Alpha,
14,Team of The Week #2,Sutsujin,/mobilelegends/Sutsujin,RRQ Hoshi,
14,Team of The Week #2,Moreno,/mobilelegends/Moreno,Bigetron Alpha,
14,Team of The Week #2,EMANN,/mobilelegends/EMANN,Bigetron Alpha,
14,Team of The Week #2,Idok,/mobilelegends/Idok,RRQ Hoshi,
14,Team of The Week #1,Lutpiii,/mobilelegends/Lutpiii,Fnatic ONIC,
14,Team of The Week #1,Nnael,/mobilelegends/Nnael,Alter Ego,
14,Team of The Week #1,Moreno,/mobilelegends/Moreno,Bigetron Alpha,
14,Team of The Week #1,Watt,/mobilelegends/Watt,Dewa United Esports,
14,Team of The Week #1,Kiboy,/mobilelegends/Kiboy,Fnatic ONIC,
15,Finals MVP,Sanz,/mobilelegends/S_A_N_Z,ONIC,"$1,717.87"
15,Regular Season MVP,Idok,/mobilelegends/Idok,RRQ Hoshi,$920.28
15,Rookie Of The Season,Maykids,/mobilelegends/Maykids,Geek Fam ID,$368.11
15,Most Improved Player,Nino,/mobilelegends/Nino,Alter Ego,$368.11
15,First Team Winner,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,$368.11
15,First Team Winner,Kairi,/mobilelegends/Kairi,ONIC,
15,First Team Winner,Sanz,/mobilelegends/S_A_N_Z,ONIC,
15,First Team Winner,EMANN,/mobilelegends/EMANN,Bigetron Esports,
15,First Team Winner,Idok,/mobilelegends/Idok,RRQ Hoshi,
15,Best Coaching Team,RRQ Hoshi,/mobilelegends/RRQ_Hoshi,RRQ Hoshi,$184.06
15,Second Team Winner,Nino,/mobilelegends/Nino,Alter Ego,$245.41
15,Second Team Winner,Maykids,/mobilelegends/Maykids,Geek Fam ID,
15,Second Team Winner,Aboy,/mobilelegends/A_B_O_Y,Geek Fam ID,
15,Second Team Winner,Toyy,/mobilelegends/Toyy,RRQ Hoshi,
