season,hero,picks,menang,kalah,win_rate,bans,pick_ban
10,Bruno,8,2,6,25.0,3,11
10,Hilda,7,6,1,85.71,10,17
10,Khufra,7,2,5,28.57,6,13
10,Jawhead,6,3,3,50.0,2,8
10,Hayabusa,6,1,5,16.67,2,8
10,Thamuz,6,0,6,0.0,2,8
10,Kagura,5,2,3,40.0,2,7
10,Angela,5,1,4,20.0,3,8
10,Barats,5,1,4,20.0,7,12
10,Natan,5,1,4,20.0,2,7
10,Minotaur,4,1,3,25.0,0,4
10,Gusion,3,2,1,66.67,6,9
10,Kimmy,3,1,2,33.33,0,3
10,Karrie,3,0,3,0.0,2,5
10,Edith,2,2,0,100.0,0,2
10,Estes,2,2,0,100.0,5,7
10,Minsitthar,2,1,1,50.0,1,3
10,Lapu-Lapu,1,1,0,100.0,0,1
10,Lesley,1,1,0,100.0,0,1
10,Miya,1,1,0,100.0,0,1
10,Moskov,1,1,0,100.0,0,1
10,Yi Sun-shin,1,1,0,100.0,0,1
10,Yin,1,1,0,100.0,0,1
10,Gloo,1,0,1,0.0,0,1
10,Harith,1,0,1,0.0,0,1
10,Helcurt,1,0,1,0.0,1,2
10,Khaleed,1,0,1,0.0,0,1
10,Martis,1,0,1,0.0,0,1
11,Fredrinn,115,59,56,51.3,50,165
11,Pharsa,106,56,50,52.83,30,136
11,Valentina,88,47,41,53.41,71,159
11,Kaja,72,43,29,59.72,78,150
11,Yve,68,34,34,50.0,58,126
11,Lapu-Lapu,67,29,38,43.28,20,87
11,Gloo,66,39,27,59.09,71,137
11,Karrie,63,33,30,52.38,31,94
11,Grock,63,29,34,46.03,17,80
11,Claude,61,35,26,57.38,82,143
11,Melissa,60,34,26,56.67,44,104
11,Arlott,60,28,32,46.67,42,102
11,Faramis,51,27,24,52.94,69,120
11,Beatrix,51,25,26,49.02,21,72
11,Martis,49,19,30,38.78,22,71
11,Yu Zhong,42,21,21,50.0,29,71
11,Lancelot,42,16,26,38.1,27,69
11,Khufra,40,19,21,47.5,14,54
11,Akai,38,22,16,57.89,39,77
11,Brody,38,16,22,42.11,20,58
11,Kadita,37,19,18,51.35,60,97
11,Lolita,31,16,15,51.61,27,58
11,Franco,27,13,14,48.15,21,48
11,Hayabusa,21,10,11,47.62,39,60
11,Ling,20,11,9,55.0,32,52
11,Terizla,20,11,9,55.0,24,44
11,Moskov,20,8,12,40.0,11,31
11,Wanwan,20,8,12,40.0,141,161
11,Chou,19,10,9,52.63,4,23
11,Diggie,18,11,7,61.11,41,59
11,Paquito,18,11,7,61.11,2,20
11,Fanny,17,12,5,70.59,127,144
11,Edith,14,7,7,50.0,5,19
11,Lylia,14,5,9,35.71,4,18
11,Ruby,14,3,11,21.43,9,23
11,Atlas,13,7,6,53.85,39,52
11,Natalia,11,8,3,72.73,34,45
11,Lunox,11,6,5,54.55,6,17
11,Joy,11,5,6,45.45,163,174
11,Harith,11,4,7,36.36,13,24
11,Hilda,11,4,7,36.36,19,30
11,Benedetta,11,1,10,9.09,1,12
11,Masha,10,6,4,60.0,13,23
11,Estes,8,5,3,62.5,16,24
11,Baxia,8,4,4,50.0,0,8
11,Alice,8,3,5,37.5,3,11
11,Irithel,8,3,5,37.5,0,8
11,Minsitthar,7,5,2,71.43,16,23
11,Phoveus,7,5,2,71.43,6,13
11,Barats,5,4,1,80.0,5,10
11,Esmeralda,5,3,2,60.0,3,8
11,Thamuz,5,2,3,40.0,0,5
11,Hanzo,5,1,4,20.0,7,12
11,Mathilda,4,0,4,0.0,2,6
11,Helcurt,3,1,2,33.33,1,4
11,Julian,3,1,2,33.33,0,3
11,Aamon,3,0,3,0.0,0,3
11,Karina,2,2,0,100.0,3,5
11,Kagura,2,1,1,50.0,0,2
11,Lesley,2,1,1,50.0,1,3
11,Angela,2,0,2,0.0,0,2
11,Hanabi,2,0,2,0.0,0,2
11,Natan,2,0,2,0.0,1,3
11,Dyrroth,1,1,0,100.0,1,2
11,Khaleed,1,1,0,100.0,2,3
11,Cecilion,1,0,1,0.0,0,1
11,Floryn,1,0,1,0.0,0,1
11,Jawhead,1,0,1,0.0,0,1
11,Johnson,1,0,1,0.0,0,1
11,Saber,1,0,1,0.0,0,1
11,Selena,1,0,1,0.0,0,1
11,Uranus,1,0,1,0.0,0,1
11,Xavier,1,0,1,0.0,0,1
11,Hylos,0,0,0,,2,2
11,Rafaela,0,0,0,,1,1
12,Valentina,117,50,67,42.74,76,193
12,Fredrinn,108,57,51,52.78,72,180
12,Beatrix,85,45,40,52.94,29,114
12,Edith,85,42,43,49.41,40,125
12,Irithel,83,51,32,61.45,28,111
12,Terizla,74,43,31,58.11,58,132
12,Claude,73,35,38,47.95,57,130
12,Lancelot,66,25,41,37.88,41,107
12,Paquito,60,33,27,55.0,118,178
12,Baxia,57,34,23,59.65,73,130
12,Pharsa,57,20,37,35.09,14,71
12,Kadita,52,34,18,65.38,121,173
12,Angela,51,24,27,47.06,87,138
12,Martis,50,17,33,34.0,30,80
12,Bruno,49,27,22,55.1,26,75
12,Uranus,49,20,29,40.82,75,124
12,Kaja,48,30,18,62.5,97,145
12,Novaria,48,25,23,52.08,39,87
12,Yve,47,30,17,63.83,86,133
12,Grock,47,18,29,38.3,19,66
12,Faramis,46,30,16,65.22,40,86
12,Khufra,45,17,28,37.78,29,74
12,Brody,44,18,26,40.91,26,70
12,Chou,42,22,20,52.38,38,80
12,Joy,35,23,12,65.71,132,167
12,Arlott,35,14,21,40.0,23,58
12,Akai,31,17,14,54.84,10,41
12,Yu Zhong,29,16,13,55.17,24,53
12,Franco,29,14,15,48.28,52,81
12,X.Borg,28,12,16,42.86,22,50
12,Karrie,28,10,18,35.71,9,37
12,Rafaela,27,14,13,51.85,9,36
12,Fanny,23,11,12,47.83,164,187
12,Ruby,22,12,10,54.55,9,31
12,Ling,21,11,10,52.38,46,67
12,Lapu-Lapu,20,7,13,35.0,4,24
12,Khaleed,18,14,4,77.78,14,32
12,Lylia,17,8,9,47.06,3,20
12,Gord,16,8,8,50.0,4,20
12,Gloo,15,6,9,40.0,8,23
12,Dyrroth,13,13,0,100.0,10,23
12,Mathilda,13,8,5,61.54,46,59
12,Hayabusa,13,7,6,53.85,10,23
12,Harith,12,6,6,50.0,14,26
12,Esmeralda,12,4,8,33.33,3,15
12,Minotaur,12,4,8,33.33,4,16
12,Wanwan,11,5,6,45.45,18,29
12,Bane,11,2,9,18.18,2,13
12,Melissa,10,2,8,20.0,17,27
12,Diggie,8,5,3,62.5,16,24
12,Ixia,8,3,5,37.5,6,14
12,Floryn,8,2,6,25.0,6,14
12,Valir,7,1,6,14.29,0,7
12,Helcurt,6,4,2,66.67,13,19
12,Cecilion,6,3,3,50.0,0,6
12,Lesley,5,4,1,80.0,9,14
12,Alpha,5,3,2,60.0,0,5
12,Atlas,4,3,1,75.0,5,9
12,Hilda,4,3,1,75.0,17,21
12,Clint,4,2,2,50.0,0,4
12,Guinevere,4,0,4,0.0,0,4
12,Badang,3,2,1,66.67,1,4
12,Leomord,3,2,1,66.67,1,4
12,Thamuz,3,1,2,33.33,0,3
12,Benedetta,2,1,1,50.0,0,2
12,Masha,2,1,1,50.0,8,10
12,Natalia,2,1,1,50.0,16,18
12,Lunox,2,0,2,0.0,2,4
12,Alice,1,1,0,100.0,0,1
12,Balmond,1,1,0,100.0,0,1
12,Hylos,1,1,0,100.0,0,1
12,Saber,1,1,0,100.0,0,1
12,Alucard,1,0,1,0.0,0,1
12,Aulus,1,0,1,0.0,0,1
12,Estes,1,0,1,0.0,3,4
12,Granger,1,0,1,0.0,0,1
12,Popol and Kupa,1,0,1,0.0,0,1
12,Selena,1,0,1,0.0,0,1
12,Minsitthar,0,0,0,,1,1
13,Fredrinn,133,82,51,61.65,39,172
13,Barats,96,44,52,45.83,32,128
13,Claude,89,50,39,56.18,58,147
13,Valentina,88,40,48,45.45,48,136
13,Baxia,84,38,46,45.24,28,112
13,Roger,83,36,47,43.37,25,108
13,Arlott,76,35,41,46.05,60,136
13,Novaria,72,36,36,50.0,56,128
13,Karrie,72,27,45,37.5,26,98
13,Vexana,70,36,34,51.43,37,107
13,Ruby,68,31,37,45.59,46,114
13,Minotaur,62,32,30,51.61,78,140
13,Angela,55,31,24,56.36,112,167
13,Yu Zhong,55,28,27,50.91,34,89
13,Faramis,54,24,30,44.44,56,110
13,Natan,53,27,26,50.94,61,114
13,Terizla,53,23,30,43.4,32,85
13,Paquito,50,26,24,52.0,43,93
13,Cici,49,21,28,42.86,39,88
13,X.Borg,44,25,19,56.82,104,148
13,Grock,42,18,24,42.86,40,82
13,Luo Yi,41,25,16,60.98,96,137
13,Bruno,41,18,23,43.9,20,61
13,Mathilda,39,16,23,41.03,144,183
13,Lapu-Lapu,35,25,10,71.43,9,44
13,Akai,33,12,21,36.36,12,45
13,Chip,28,14,14,50.0,73,101
13,Moskov,27,22,5,81.48,47,74
13,Tigreal,27,17,10,62.96,21,48
13,Harith,26,19,7,73.08,112,138
13,Brody,21,11,10,52.38,12,33
13,Edith,19,10,9,52.63,9,28
13,Floryn,18,8,10,44.44,28,46
13,Nolan,18,7,11,38.89,103,121
13,Gord,17,13,4,76.47,3,20
13,Kaja,16,10,6,62.5,42,58
13,Franco,16,9,7,56.25,15,31
13,Fanny,16,8,8,50.0,47,63
13,Benedetta,16,7,9,43.75,19,35
13,Chou,15,7,8,46.67,11,26
13,Ling,15,7,8,46.67,32,47
13,Masha,14,9,5,64.29,29,43
13,Alpha,13,8,5,61.54,16,29
13,Lylia,12,5,7,41.67,16,28
13,Pharsa,11,7,4,63.64,2,13
13,Guinevere,10,7,3,70.0,14,24
13,Dyrroth,10,4,6,40.0,6,16
13,Thamuz,10,4,6,40.0,5,15
13,Nana,10,3,7,30.0,6,16
13,Kadita,9,7,2,77.78,9,18
13,Beatrix,9,5,4,55.56,1,10
13,Martis,9,3,6,33.33,2,11
13,Yve,8,4,4,50.0,2,10
13,Carmilla,8,2,6,25.0,5,13
13,Helcurt,7,4,3,57.14,26,33
13,Selena,6,4,2,66.67,6,12
13,Gloo,6,3,3,50.0,1,7
13,Joy,6,3,3,50.0,74,80
13,Lancelot,6,2,4,33.33,3,9
13,Clint,5,2,3,40.0,0,5
13,Ixia,5,2,3,40.0,3,8
13,Esmeralda,5,1,4,20.0,0,5
13,Lunox,4,1,3,25.0,0,4
13,Odette,4,1,3,25.0,3,7
13,Uranus,4,1,3,25.0,1,5
13,Khaleed,4,0,4,0.0,2,6
13,Lolita,3,2,1,66.67,1,4
13,Khufra,3,1,2,33.33,0,3
13,Xavier,3,1,2,33.33,0,3
13,Irithel,3,0,3,0.0,0,3
13,Alice,2,2,0,100.0,0,2
13,Julian,2,2,0,100.0,2,4
13,Cecilion,2,1,1,50.0,0,2
13,Diggie,2,1,1,50.0,8,10
13,Phoveus,2,1,1,50.0,1,3
13,Estes,2,0,2,0.0,0,2
13,Hanzo,2,0,2,0.0,1,3
13,Rafaela,2,0,2,0.0,0,2
13,Hayabusa,1,1,0,100.0,3,4
13,Melissa,1,1,0,100.0,0,1
13,Hilda,1,0,1,0.0,3,4
13,Lesley,1,0,1,0.0,0,1
13,Minsitthar,1,0,1,0.0,0,1
14,Edith,98,47,51,47.96,47,145
14,Valentina,78,33,45,42.31,39,117
14,Harith,77,44,33,57.14,94,171
14,Hylos,76,43,33,56.58,79,155
14,Roger,76,38,38,50.0,44,120
14,Nolan,74,35,39,47.3,39,113
14,Alpha,71,39,32,54.93,43,114
14,Moskov,70,30,40,42.86,48,118
14,Ruby,66,34,32,51.52,46,112
14,Phoveus,64,38,26,59.38,92,156
14,Terizla,61,28,33,45.9,28,89
14,Zhask,60,25,35,41.67,30,90
14,Arlott,58,29,29,50.0,31,89
14,Yve,54,33,21,61.11,28,82
14,Faramis,50,33,17,66.0,39,89
14,Gatotkaca,50,25,25,50.0,37,87
14,Ling,49,25,24,51.02,115,164
14,Vexana,49,19,30,38.78,22,71
14,Julian,49,17,32,34.69,18,67
14,Mathilda,48,31,17,64.58,63,111
14,Hayabusa,46,22,24,47.83,90,136
14,Aurora,44,26,18,59.09,21,65
14,Chou,44,19,25,43.18,33,77
14,Natan,40,22,18,55.0,27,67
14,Claude,39,17,22,43.59,19,58
14,Khaleed,36,20,16,55.56,24,60
14,Tigreal,35,18,17,51.43,57,92
14,Lunox,34,17,17,50.0,16,50
14,Zhuxin,34,15,19,44.12,104,138
14,Jawhead,31,12,19,38.71,12,43
14,Beatrix,29,18,11,62.07,11,40
14,Karrie,26,11,15,42.31,10,36
14,Angela,23,12,11,52.17,15,38
14,Luo Yi,22,14,8,63.64,37,59
14,Bane,21,13,8,61.9,7,28
14,Fanny,21,6,15,28.57,163,184
14,Grock,20,9,11,45.0,12,32
14,Barats,17,9,8,52.94,5,22
14,Kaja,17,7,10,41.18,21,38
14,Wanwan,16,11,5,68.75,24,40
14,Khufra,16,5,11,31.25,9,25
14,Franco,15,8,7,53.33,14,29
14,Akai,15,5,10,33.33,5,20
14,Joy,14,3,11,21.43,7,21
14,X.Borg,13,8,5,61.54,24,37
14,Lancelot,11,7,4,63.64,3,14
14,Bruno,11,5,6,45.45,6,17
14,Minotaur,11,5,6,45.45,14,25
14,Alice,11,4,7,36.36,7,18
14,Suyou,10,8,2,80.0,25,35
14,Lolita,10,3,7,30.0,12,22
14,Benedetta,9,4,5,44.44,4,13
14,Clint,9,4,5,44.44,0,9
14,Lylia,9,4,5,44.44,2,11
14,Thamuz,8,5,3,62.5,1,9
14,Carmilla,7,5,2,71.43,8,15
14,Irithel,7,5,2,71.43,5,12
14,Chip,7,3,4,42.86,205,212
14,Gloo,7,2,5,28.57,1,8
14,Hilda,6,5,1,83.33,6,12
14,Brody,5,2,3,40.0,2,7
14,Yu Zhong,5,2,3,40.0,1,6
14,Ixia,3,2,1,66.67,1,4
14,Rafaela,3,1,2,33.33,0,3
14,Fredrinn,2,2,0,100.0,2,4
14,Guinevere,2,1,1,50.0,0,2
14,Helcurt,2,1,1,50.0,50,52
14,Hanabi,2,0,2,0.0,1,3
14,Melissa,2,0,2,0.0,2,4
14,Novaria,2,0,2,0.0,0,2
14,Atlas,1,1,0,100.0,0,1
14,Cecilion,1,1,0,100.0,0,1
14,Natalia,1,1,0,100.0,5,6
14,Paquito,1,1,0,100.0,0,1
14,Pharsa,1,1,0,100.0,0,1
14,Uranus,1,1,0,100.0,0,1
14,Yin,1,1,0,100.0,0,1
14,Cici,1,0,1,0.0,7,8
14,Kadita,1,0,1,0.0,0,1
14,Martis,1,0,1,0.0,0,1
14,Masha,1,0,1,0.0,0,1
14,Minsitthar,1,0,1,0.0,0,1
14,Nana,1,0,1,0.0,0,1
14,Saber,0,0,0,,1,1
15,Granger,118,68,50,57.63,79,197
15,Suyou,115,71,44,61.74,40,155
15,Gatotkaca,105,52,53,49.52,32,137
15,Harith,96,50,46,52.08,103,199
15,Badang,94,50,44,53.19,60,154
15,Joy,94,38,56,40.43,96,190
15,Kalea,83,43,40,51.81,68,151
15,Phoveus,73,34,39,46.58,102,175
15,Pharsa,66,39,27,59.09,39,105
15,Hylos,66,33,33,50.0,28,94
15,Valentina,65,30,35,46.15,36,101
15,Moskov,64,25,39,39.06,49,113
15,Zhuxin,63,26,37,41.27,124,187
15,Chou,59,31,28,52.54,29,88
15,Hayabusa,55,28,27,50.91,76,131
15,Cici,51,27,24,52.94,46,97
15,Gloo,46,27,19,58.7,55,101
15,Kimmy,45,25,20,55.56,28,73
15,Hilda,44,16,28,36.36,47,91
15,Yve,43,25,18,58.14,57,100
15,Chip,43,22,21,51.16,112,155
15,Luo Yi,39,20,19,51.28,138,177
15,Lukas,35,15,20,42.86,64,99
15,Baxia,31,17,14,54.84,22,53
15,Irithel,31,16,15,51.61,18,49
15,Cecilion,29,16,13,55.17,9,38
15,Ling,28,13,15,46.43,23,51
15,Fredrinn,25,15,10,60.0,34,59
15,Wanwan,25,14,11,56.0,16,41
15,Edith,24,11,13,45.83,11,35
15,Khaleed,24,10,14,41.67,7,31
15,Bruno,24,8,16,33.33,8,32
15,Mathilda,23,9,14,39.13,79,102
15,Jawhead,21,10,11,47.62,37,58
15,Claude,20,11,9,55.0,7,27
15,Karrie,20,6,14,30.0,6,26
15,Faramis,19,7,12,36.84,14,33
15,Selena,19,7,12,36.84,14,33
15,Fanny,19,6,13,31.58,174,193
15,Beatrix,18,12,6,66.67,19,37
15,Vexana,16,8,8,50.0,5,21
15,Tigreal,15,8,7,53.33,33,48
15,Franco,14,10,4,71.43,18,32
15,Novaria,14,5,9,35.71,12,26
15,Hanzo,12,4,8,33.33,23,35
15,Alpha,11,6,5,54.55,4,15
15,Aurora,9,3,6,33.33,2,11
15,Lancelot,9,3,6,33.33,1,10
15,Terizla,9,3,6,33.33,0,9
15,Zhask,8,6,2,75.0,3,11
15,Masha,7,5,2,71.43,30,37
15,Benedetta,7,4,3,57.14,1,8
15,Ruby,7,2,5,28.57,2,9
15,X.Borg,6,3,3,50.0,4,10
15,Lunox,5,3,2,60.0,0,5
15,Angela,4,4,0,100.0,4,8
15,Esmeralda,4,2,2,50.0,2,6
15,Yi Sun-shin,4,2,2,50.0,4,8
15,Clint,4,1,3,25.0,0,4
15,Guinevere,4,1,3,25.0,1,5
15,Nolan,4,1,3,25.0,2,6
15,Arlott,3,2,1,66.67,3,6
15,Carmilla,3,1,2,33.33,1,4
15,Akai,2,2,0,100.0,2,4
15,Kaja,2,2,0,100.0,0,2
15,Paquito,2,2,0,100.0,0,2
15,Vale,2,2,0,100.0,0,2
15,Floryn,2,1,1,50.0,1,3
15,Helcurt,2,1,1,50.0,2,4
15,Leomord,2,1,1,50.0,0,2
15,Natan,2,1,1,50.0,0,2
15,Uranus,2,1,1,50.0,3,5
15,Barats,2,0,2,0.0,0,2
15,Khufra,2,0,2,0.0,0,2
15,Valir,2,0,2,0.0,0,2
15,Belerick,1,1,0,100.0,0,1
15,Julian,1,1,0,100.0,0,1
15,Kadita,1,0,1,0.0,0,1
15,Lylia,1,0,1,0.0,0,1
15,Martis,1,0,1,0.0,0,1
15,Lolita,0,0,0,,1,1
16,Yi Sun-shin,120,63,57,52.5,65,185
16,Zhuxin,104,60,44,57.69,86,190
16,Gatotkaca,99,52,47,52.53,46,145
16,Lancelot,91,34,57,37.36,69,160
16,Granger,88,45,43,51.14,54,142
16,Cici,85,45,40,52.94,100,185
16,Harith,80,42,38,52.5,67,147
16,Kalea,73,40,33,54.79,82,155
16,Kimmy,72,39,33,54.17,38,110
16,Hayabusa,65,45,20,69.23,21,86
16,Arlott,65,37,28,56.92,84,149
16,Lapu-Lapu,61,30,31,49.18,31,92
16,Uranus,60,28,32,46.67,92,152
16,Pharsa,59,28,31,47.46,24,83
16,Grock,45,23,22,51.11,51,96
16,Phoveus,45,23,22,51.11,74,119
16,Hylos,44,18,26,40.91,22,66
16,Baxia,42,26,16,61.9,137,179
16,Yve,38,17,21,44.74,30,68
16,Ruby,36,20,16,55.56,34,70
16,Lunox,36,19,17,52.78,43,79
16,Claude,36,17,19,47.22,7,43
16,Joy,34,16,18,47.06,15,49
16,Fredrinn,34,14,20,41.18,21,55
16,Chou,33,18,15,54.55,26,59
16,Esmeralda,32,17,15,53.13,51,83
16,Hilda,32,13,19,40.63,49,81
16,Alice,31,17,14,54.84,16,47
16,Valentina,30,12,18,40.0,15,45
16,Khaleed,27,13,14,48.15,19,46
16,Angela,25,12,13,48.0,43,68
16,Yu Zhong,25,11,14,44.0,18,43
16,Fanny,25,9,16,36.0,130,155
16,Moskov,22,11,11,50.0,19,41
16,Wanwan,21,9,12,42.86,116,137
16,Bruno,19,6,13,31.58,6,25
16,Gloo,18,8,10,44.44,20,38
16,Badang,17,8,9,47.06,9,26
16,Selena,15,7,8,46.67,32,47
16,Kagura,15,5,10,33.33,6,21
16,Chip,14,6,8,42.86,60,74
16,Helcurt,11,7,4,63.64,49,60
16,Guinevere,11,6,5,54.55,1,12
16,Obsidia,10,5,5,50.0,1,11
16,Luo Yi,9,6,3,66.67,2,11
16,Beatrix,8,5,3,62.5,14,22
16,Franco,8,5,3,62.5,21,29
16,Terizla,7,3,4,42.86,0,7
16,Mathilda,7,1,6,14.29,12,19
16,Bane,6,3,3,50.0,0,6
16,Kaja,6,3,3,50.0,3,9
16,Novaria,6,2,4,33.33,2,8
16,X.Borg,5,3,2,60.0,3,8
16,Benedetta,5,2,3,40.0,2,7
16,Natan,5,2,3,40.0,3,8
16,Karrie,5,1,4,20.0,2,7
16,Brody,3,3,0,100.0,0,3
16,Jawhead,3,2,1,66.67,1,4
16,Kadita,3,1,2,33.33,5,8
16,Paquito,3,0,3,0.0,0,3
16,Zetian,3,0,3,0.0,0,3
16,Irithel,2,2,0,100.0,5,7
16,Lylia,2,2,0,100.0,1,3
16,Khufra,2,1,1,50.0,1,3
16,Ling,2,1,1,50.0,1,3
16,Lukas,2,1,1,50.0,0,2
16,Odette,2,1,1,50.0,0,2
16,Sun,2,1,1,50.0,0,2
16,Tigreal,2,1,1,50.0,1,3
16,Cecilion,2,0,2,0.0,0,2
16,Estes,2,0,2,0.0,0,2
16,Nana,2,0,2,0.0,1,3
16,Masha,1,1,0,100.0,2,3
16,Suyou,1,1,0,100.0,1,2
16,Akai,1,0,1,0.0,4,5
16,Clint,1,0,1,0.0,0,1
16,Dyrroth,1,0,1,0.0,0,1
16,Edith,1,0,1,0.0,1,2
16,Freya,1,0,1,0.0,0,1
16,Hanabi,1,0,1,0.0,0,1
16,Minotaur,1,0,1,0.0,0,1
16,Minsitthar,1,0,1,0.0,0,1
16,Thamuz,1,0,1,0.0,0,1
16,Alpha,0,0,0,,1,1
16,Faramis,0,0,0,,1,1
16,Hanzo,0,0,0,,1,1
17,Zhuxin,130,65,65,50.0,72,202
17,Claude,123,74,49,60.16,19,142
17,Leomord,96,52,44,54.17,28,124
17,Harith,92,46,46,50.0,55,147
17,Suyou,82,32,50,39.02,20,102
17,Sora,77,33,44,42.86,44,121
17,Yve,75,40,35,53.33,43,118
17,Gloo,69,40,29,57.97,61,130
17,Phoveus,66,43,23,65.15,116,182
17,Khaleed,64,26,38,40.63,39,103
17,Valentina,61,27,34,44.26,42,103
17,Kalea,56,28,28,50.0,85,141
17,Harley,53,29,24,54.72,92,145
17,Yi Sun-shin,48,18,30,37.5,19,67
17,Fredrinn,43,23,20,53.49,32,75
17,Lapu-Lapu,43,23,20,53.49,12,55
17,Baxia,43,21,22,48.84,68,111
17,Hylos,43,20,23,46.51,14,57
17,Moskov,41,24,17,58.54,17,58
17,Gatotkaca,39,20,19,51.28,10,49
17,Freya,38,23,15,60.53,167,205
17,Granger,37,17,20,45.95,18,55
17,Marcel,36,23,13,63.89,142,178
17,Zetian,35,16,19,45.71,26,61
17,Arlott,34,23,11,67.65,64,98
17,Uranus,33,10,23,30.3,37,70
17,Karrie,32,10,22,31.25,23,55
17,Guinevere,31,18,13,58.06,132,163
17,Terizla,30,15,15,50.0,14,44
17,Pharsa,26,13,13,50.0,5,31
17,Alice,25,9,16,36.0,23,48
17,Hilda,24,13,11,54.17,24,48
17,Paquito,24,12,12,50.0,14,38
17,Chou,24,10,14,41.67,24,48
17,Gord,23,14,9,60.87,14,37
17,Fanny,21,13,8,61.9,164,185
17,Lylia,21,7,14,33.33,10,31
17,Kimmy,17,8,9,47.06,0,17
17,Yu Zhong,16,9,7,56.25,8,24
17,Atlas,14,7,7,50.0,17,31
17,Valir,14,7,7,50.0,14,28
17,Chip,13,8,5,61.54,108,121
17,Lancelot,12,7,5,58.33,7,19
17,Cici,11,3,8,27.27,11,22
17,Obsidia,10,5,5,50.0,9,19
17,Badang,8,2,6,25.0,2,10
17,Lunox,7,6,1,85.71,6,13
17,Masha,6,3,3,50.0,10,16
17,Faramis,5,3,2,60.0,1,6
17,Grock,5,1,4,20.0,8,13
17,Kaja,4,3,1,75.0,3,7
17,Akai,4,2,2,50.0,1,5
17,Luo Yi,4,2,2,50.0,0,4
17,Selena,4,2,2,50.0,6,10
17,Bruno,4,1,3,25.0,0,4
17,Helcurt,4,1,3,25.0,29,33
17,Nolan,4,1,3,25.0,3,7
17,Odette,3,2,1,66.67,1,4
17,Beatrix,3,1,2,33.33,0,3
17,Belerick,3,1,2,33.33,1,4
17,Lukas,3,1,2,33.33,0,3
17,Vexana,3,1,2,33.33,0,3
17,Benedetta,3,0,3,0.0,0,3
17,Esmeralda,3,0,3,0.0,3,6
17,Brody,2,2,0,100.0,1,3
17,Kadita,2,2,0,100.0,0,2
17,Hayabusa,2,1,1,50.0,3,5
17,Irithel,2,1,1,50.0,0,2
17,Khufra,2,1,1,50.0,2,4
17,Clint,2,0,2,0.0,0,2
17,Nana,1,1,0,100.0,0,1
17,Barats,1,0,1,0.0,0,1
17,Edith,1,0,1,0.0,0,1
17,Franco,1,0,1,0.0,1,2
17,Gusion,1,0,1,0.0,0,1
17,Joy,1,0,1,0.0,3,4
17,Kagura,1,0,1,0.0,0,1
17,Ling,1,0,1,0.0,0,1
17,Minsitthar,1,0,1,0.0,0,1
17,Ruby,1,0,1,0.0,0,1
17,Saber,1,0,1,0.0,0,1
17,Tigreal,1,0,1,0.0,0,1
17,X.Borg,1,0,1,0.0,2,3
17,Mathilda,0,0,0,,1,1
18,Miya,15,10,5,67.0,10,25
18,Balmond,0,0,0,,0,0
18,Saber,0,0,0,,0,0
18,Alice,10,5,5,50.0,5,15
18,Nana,0,0,0,,0,0
18,Tigreal,1,0,1,0.0,0,1
18,Alucard,0,0,0,,0,0
18,Karina,0,0,0,,0,0
18,Akai,0,0,0,,0,0
18,Franco,0,0,0,,0,0
18,Bane,0,0,0,,0,0
18,Bruno,0,0,0,,0,0
18,Clint,7,3,4,43.0,0,7
18,Rafaela,25,15,10,60.0,29,54
18,Eudora,36,22,14,61.0,16,52
